Ticker,Data State,Year,Sector,BEST_CUR_EV_TO_EBITDA,EV_TO_T12M_EBITDA,EV_TO_T12M_SALES
6752 JP Equity,Dynamic,2023,Hardware. Global Household Appliances Competitve Peers,"4,587622539","5,364135364","0,477704538"
6752 JP Equity,Dynamic,2024,Hardware. Global Household Appliances Competitve Peers,"5,340883785",,
ARCLK TI Equity,Dynamic,1995,Hardware. Global Household Appliances Competitve Peers,,"3,638392857","0,550539789"
ARCLK TI Equity,Dynamic,1996,Hardware. Global Household Appliances Competitve Peers,,"4,494553684","0,943573131"
ARCLK TI Equity,Dynamic,1997,Hardware. Global Household Appliances Competitve Peers,,"5,344237331","1,307223612"
ARCLK TI Equity,Dynamic,1998,Hardware. Global Household Appliances Competitve Peers,,"4,339573057","0,767339047"
ARCLK TI Equity,Dynamic,1999,Hardware. Global Household Appliances Competitve Peers,,"13,90347625","2,56690903"
ARCLK TI Equity,Dynamic,2000,Hardware. Global Household Appliances Competitve Peers,,"5,578305819","0,940046717"
ARCLK TI Equity,Dynamic,2001,Hardware. Global Household Appliances Competitve Peers,,"10,00790676","1,194904916"
ARCLK TI Equity,Dynamic,2002,Hardware. Global Household Appliances Competitve Peers,,"6,466762326","0,752753556"
ARCLK TI Equity,Dynamic,2003,Hardware. Global Household Appliances Competitve Peers,,"8,062218976","0,949914842"
ARCLK TI Equity,Dynamic,2004,Hardware. Global Household Appliances Competitve Peers,,"6,195569898","0,677546941"
ARCLK TI Equity,Dynamic,2005,Hardware. Global Household Appliances Competitve Peers,,"7,493366463","0,819310188"
ARCLK TI Equity,Dynamic,2006,Hardware. Global Household Appliances Competitve Peers,,"8,307848158","0,776134488"
ARCLK TI Equity,Dynamic,2007,Hardware. Global Household Appliances Competitve Peers,,"9,154501048","0,914722495"
ARCLK TI Equity,Dynamic,2008,Hardware. Global Household Appliances Competitve Peers,,"6,499590888","0,58101151"
ARCLK TI Equity,Dynamic,2009,Hardware. Global Household Appliances Competitve Peers,,"5,16755177","0,729363104"
ARCLK TI Equity,Dynamic,2010,Hardware. Global Household Appliances Competitve Peers,,"6,52660289","0,781138887"
ARCLK TI Equity,Dynamic,2011,Hardware. Global Household Appliances Competitve Peers,,"6,637991775","0,679537389"
ARCLK TI Equity,Dynamic,2012,Hardware. Global Household Appliances Competitve Peers,,"9,365118861","0,910837"
ARCLK TI Equity,Dynamic,2013,Hardware. Global Household Appliances Competitve Peers,,"9,028847616","0,967298049"
ARCLK TI Equity,Dynamic,2014,Hardware. Global Household Appliances Competitve Peers,,"9,331997857","1,009018675"
ARCLK TI Equity,Dynamic,2015,Hardware. Global Household Appliances Competitve Peers,,"8,054120111","0,861605676"
ARCLK TI Equity,Dynamic,2016,Hardware. Global Household Appliances Competitve Peers,,"10,00524758","1,091260245"
ARCLK TI Equity,Dynamic,2017,Hardware. Global Household Appliances Competitve Peers,"4,610173047","10,12128007","0,929307241"
ARCLK TI Equity,Dynamic,2018,Hardware. Global Household Appliances Competitve Peers,,"6,34523395","0,643406596"
ARCLK TI Equity,Dynamic,2019,Hardware. Global Household Appliances Competitve Peers,"3,051964865","6,865853781","0,696734133"
ARCLK TI Equity,Dynamic,2020,Hardware. Global Household Appliances Competitve Peers,"3,539948359","4,894776172","0,631556864"
ARCLK TI Equity,Dynamic,2021,Hardware. Global Household Appliances Competitve Peers,"6,984552403","7,383218517","0,746964387"
ARCLK TI Equity,Dynamic,2022,Hardware. Global Household Appliances Competitve Peers,"5,501373587","7,62595394","0,487076007"
ARCLK TI Equity,Dynamic,2023,Hardware. Global Household Appliances Competitve Peers,"5,124567377","7,707722716","0,603428416"
ARCLK TI Equity,Dynamic,2024,Hardware. Global Household Appliances Competitve Peers,"7,03562174",,
COOK US Equity,Dynamic,2021,Hardware. Global Household Appliances Competitve Peers,"7,068488087",,"2,335031931"
COOK US Equity,Dynamic,2022,Hardware. Global Household Appliances Competitve Peers,"10,40703634",,"1,22346032"
COOK US Equity,Dynamic,2023,Hardware. Global Household Appliances Competitve Peers,"10,60657077",,"1,275638288"
COOK US Equity,Dynamic,2024,Hardware. Global Household Appliances Competitve Peers,"9,791838833",,
DLG IM Equity,Dynamic,2001,Hardware. Global Household Appliances Competitve Peers,,"10,28141622","1,668415407"
DLG IM Equity,Dynamic,2002,Hardware. Global Household Appliances Competitve Peers,,"4,963924683","0,715737848"
DLG IM Equity,Dynamic,2003,Hardware. Global Household Appliances Competitve Peers,,"4,823631022","0,581400613"
DLG IM Equity,Dynamic,2004,Hardware. Global Household Appliances Competitve Peers,,"7,07260717","0,766426889"
DLG IM Equity,Dynamic,2005,Hardware. Global Household Appliances Competitve Peers,,"7,307350768","0,69536722"
DLG IM Equity,Dynamic,2006,Hardware. Global Household Appliances Competitve Peers,,"7,99609772","0,735368543"
DLG IM Equity,Dynamic,2007,Hardware. Global Household Appliances Competitve Peers,,"6,006488491","0,641637253"
DLG IM Equity,Dynamic,2008,Hardware. Global Household Appliances Competitve Peers,,"3,451423671","0,322465125"
DLG IM Equity,Dynamic,2009,Hardware. Global Household Appliances Competitve Peers,,"4,632486182","0,4286033"
DLG IM Equity,Dynamic,2010,Hardware. Global Household Appliances Competitve Peers,,"4,745954796","0,547329945"
DLG IM Equity,Dynamic,2011,Hardware. Global Household Appliances Competitve Peers,,"4,637049542","0,659133664"
DLG IM Equity,Dynamic,2012,Hardware. Global Household Appliances Competitve Peers,,"7,581056588","1,112570052"
DLG IM Equity,Dynamic,2013,Hardware. Global Household Appliances Competitve Peers,,"7,516015515","1,110885032"
DLG IM Equity,Dynamic,2014,Hardware. Global Household Appliances Competitve Peers,,"8,464302914","1,272372941"
DLG IM Equity,Dynamic,2015,Hardware. Global Household Appliances Competitve Peers,,"13,91388434","2,098106497"
DLG IM Equity,Dynamic,2016,Hardware. Global Household Appliances Competitve Peers,,"10,61160558","1,677297708"
DLG IM Equity,Dynamic,2017,Hardware. Global Household Appliances Competitve Peers,,"11,636831","1,780728135"
DLG IM Equity,Dynamic,2018,Hardware. Global Household Appliances Competitve Peers,,"10,11404344","1,481958798"
DLG IM Equity,Dynamic,2019,Hardware. Global Household Appliances Competitve Peers,,"8,813662771","1,213025989"
DLG IM Equity,Dynamic,2020,Hardware. Global Household Appliances Competitve Peers,,"10,70244397","1,561257182"
DLG IM Equity,Dynamic,2021,Hardware. Global Household Appliances Competitve Peers,"7,688570495","9,089070961","1,355943299"
DLG IM Equity,Dynamic,2022,Hardware. Global Household Appliances Competitve Peers,"7,096605868","8,0585029","0,942434925"
DLG IM Equity,Dynamic,2023,Hardware. Global Household Appliances Competitve Peers,"8,44566044","9,252590226","1,316998125"
DLG IM Equity,Dynamic,2024,Hardware. Global Household Appliances Competitve Peers,"7,332075815",,
ELUXB SS Equity,Dynamic,1989,Hardware. Global Household Appliances Competitve Peers,,"5,34332544","0,473807282"
ELUXB SS Equity,Dynamic,1990,Hardware. Global Household Appliances Competitve Peers,,"5,141047465","0,397019533"
ELUXB SS Equity,Dynamic,1991,Hardware. Global Household Appliances Competitve Peers,,"6,075829871","0,431928483"
ELUXB SS Equity,Dynamic,1992,Hardware. Global Household Appliances Competitve Peers,,"7,533412465","0,50368855"
ELUXB SS Equity,Dynamic,1993,Hardware. Global Household Appliances Competitve Peers,,"6,316436474","0,455053948"
ELUXB SS Equity,Dynamic,1994,Hardware. Global Household Appliances Competitve Peers,,"3,748728439","0,417134721"
ELUXB SS Equity,Dynamic,1995,Hardware. Global Household Appliances Competitve Peers,,"3,756272774","0,315520426"
ELUXB SS Equity,Dynamic,1996,Hardware. Global Household Appliances Competitve Peers,,"5,493210038","0,443751495"
ELUXB SS Equity,Dynamic,1997,Hardware. Global Household Appliances Competitve Peers,,"6,806736202","0,532371102"
ELUXB SS Equity,Dynamic,1998,Hardware. Global Household Appliances Competitve Peers,,"6,893070267","0,593680076"
ELUXB SS Equity,Dynamic,1999,Hardware. Global Household Appliances Competitve Peers,,"8,364008955","0,771755607"
ELUXB SS Equity,Dynamic,2000,Hardware. Global Household Appliances Competitve Peers,,"5,253712964","0,500966533"
ELUXB SS Equity,Dynamic,2001,Hardware. Global Household Appliances Competitve Peers,,"6,468319324","0,503593737"
ELUXB SS Equity,Dynamic,2002,Hardware. Global Household Appliances Competitve Peers,,"4,04301362","0,362125276"
ELUXB SS Equity,Dynamic,2003,Hardware. Global Household Appliances Competitve Peers,,"4,648197708","0,409461874"
ELUXB SS Equity,Dynamic,2004,Hardware. Global Household Appliances Competitve Peers,,"5,043319232","0,404925226"
ELUXB SS Equity,Dynamic,2005,Hardware. Global Household Appliances Competitve Peers,,"6,271222263","0,492905311"
ELUXB SS Equity,Dynamic,2006,Hardware. Global Household Appliances Competitve Peers,,"5,884107722","0,407220959"
ELUXB SS Equity,Dynamic,2007,Hardware. Global Household Appliances Competitve Peers,,"5,203395232","0,366610524"
ELUXB SS Equity,Dynamic,2008,Hardware. Global Household Appliances Competitve Peers,,"5,876501249","0,249546059"
ELUXB SS Equity,Dynamic,2009,Hardware. Global Household Appliances Competitve Peers,,"6,758100197","0,446052448"
ELUXB SS Equity,Dynamic,2010,Hardware. Global Household Appliances Competitve Peers,,"6,740566202","0,555215834"
ELUXB SS Equity,Dynamic,2011,Hardware. Global Household Appliances Competitve Peers,"3,687834489","6,568992433","0,400225035"
ELUXB SS Equity,Dynamic,2012,Hardware. Global Household Appliances Competitve Peers,"4,656263462","7,539509925","0,497017896"
ELUXB SS Equity,Dynamic,2013,Hardware. Global Household Appliances Competitve Peers,"4,768988341","11,38041325","0,514642283"
ELUXB SS Equity,Dynamic,2014,Hardware. Global Household Appliances Competitve Peers,"6,041695248","9,766562743","0,631578547"
ELUXB SS Equity,Dynamic,2015,Hardware. Global Household Appliances Competitve Peers,,"9,139726934","0,494093293"
ELUXB SS Equity,Dynamic,2016,Hardware. Global Household Appliances Competitve Peers,,"5,991971291","0,505116257"
ELUXB SS Equity,Dynamic,2017,Hardware. Global Household Appliances Competitve Peers,,"6,465929905","0,609485274"
ELUXB SS Equity,Dynamic,2018,Hardware. Global Household Appliances Competitve Peers,,"6,252709932","0,450880913"
ELUXB SS Equity,Dynamic,2019,Hardware. Global Household Appliances Competitve Peers,,"8,717062891","0,586847259"
ELUXB SS Equity,Dynamic,2020,Hardware. Global Household Appliances Competitve Peers,,"5,084660112","0,454488635"
ELUXB SS Equity,Dynamic,2021,Hardware. Global Household Appliances Competitve Peers,"5,477592613","6,18923718","0,556204183"
ELUXB SS Equity,Dynamic,2022,Hardware. Global Household Appliances Competitve Peers,"4,830246248","11,91760019","0,457247783"
ELUXB SS Equity,Dynamic,2023,Hardware. Global Household Appliances Competitve Peers,"5,285658229","16,59199053","0,405880632"
ELUXB SS Equity,Dynamic,2024,Hardware. Global Household Appliances Competitve Peers,"6,743914122",,
Hardware Global Household Appliances ,Average,1987,Hardware. Global Household Appliances Competitve Peers,,"6,192898305","0,632003482"
Hardware Global Household Appliances ,Average,1988,Hardware. Global Household Appliances Competitve Peers,,"7,025167114","0,642392715"
Hardware Global Household Appliances ,Average,1989,Hardware. Global Household Appliances Competitve Peers,,"6,229312409","0,594105555"
Hardware Global Household Appliances ,Average,1990,Hardware. Global Household Appliances Competitve Peers,,"5,838322423","0,499978135"
Hardware Global Household Appliances ,Average,1991,Hardware. Global Household Appliances Competitve Peers,,"6,614460119","0,628878738"
Hardware Global Household Appliances ,Average,1992,Hardware. Global Household Appliances Competitve Peers,,"6,402279776","0,672265281"
Hardware Global Household Appliances ,Average,1993,Hardware. Global Household Appliances Competitve Peers,,"9,140884214","1,04077309"
Hardware Global Household Appliances ,Average,1994,Hardware. Global Household Appliances Competitve Peers,,"6,227029256","0,776452338"
Hardware Global Household Appliances ,Average,1995,Hardware. Global Household Appliances Competitve Peers,,"6,455337338","0,70623122"
Hardware Global Household Appliances ,Average,1996,Hardware. Global Household Appliances Competitve Peers,,"11,65740713","1,107809653"
Hardware Global Household Appliances ,Average,1997,Hardware. Global Household Appliances Competitve Peers,,"10,95156088","1,247155582"
Hardware Global Household Appliances ,Average,1998,Hardware. Global Household Appliances Competitve Peers,,"8,237009237","0,944035912"
Hardware Global Household Appliances ,Average,1999,Hardware. Global Household Appliances Competitve Peers,,"10,21547982","1,133296618"
Hardware Global Household Appliances ,Average,2000,Hardware. Global Household Appliances Competitve Peers,,"8,435036603","0,857193463"
Hardware Global Household Appliances ,Average,2001,Hardware. Global Household Appliances Competitve Peers,,"9,681731856","0,83701802"
Hardware Global Household Appliances ,Average,2002,Hardware. Global Household Appliances Competitve Peers,,"5,777528412","0,548628476"
Hardware Global Household Appliances ,Average,2003,Hardware. Global Household Appliances Competitve Peers,,"6,245633763","0,568472364"
Hardware Global Household Appliances ,Average,2004,Hardware. Global Household Appliances Competitve Peers,,"7,077485247","0,614396454"
Hardware Global Household Appliances ,Average,2005,Hardware. Global Household Appliances Competitve Peers,,"7,080514865","0,596863209"
Hardware Global Household Appliances ,Average,2006,Hardware. Global Household Appliances Competitve Peers,,"8,268892414","0,661731818"
Hardware Global Household Appliances ,Average,2007,Hardware. Global Household Appliances Competitve Peers,,"11,56983941","0,923825588"
Hardware Global Household Appliances ,Average,2008,Hardware. Global Household Appliances Competitve Peers,,"6,635018115","0,65134853"
Hardware Global Household Appliances ,Average,2009,Hardware. Global Household Appliances Competitve Peers,,"9,392137576","0,946796012"
Hardware Global Household Appliances ,Average,2010,Hardware. Global Household Appliances Competitve Peers,,"11,94335064","1,137452319"
Hardware Global Household Appliances ,Average,2011,Hardware. Global Household Appliances Competitve Peers,"3,687834489","8,251022025","0,754605943"
Hardware Global Household Appliances ,Average,2012,Hardware. Global Household Appliances Competitve Peers,"4,656263462","7,786024969","0,806991762"
Hardware Global Household Appliances ,Average,2013,Hardware. Global Household Appliances Competitve Peers,"4,768988341","8,989942271","1,008811319"
Hardware Global Household Appliances ,Average,2014,Hardware. Global Household Appliances Competitve Peers,"6,041695248","9,040254074","0,995675953"
Hardware Global Household Appliances ,Average,2015,Hardware. Global Household Appliances Competitve Peers,,"11,25999134","1,343869225"
Hardware Global Household Appliances ,Average,2016,Hardware. Global Household Appliances Competitve Peers,,"10,38141974","1,271501678"
Hardware Global Household Appliances ,Average,2017,Hardware. Global Household Appliances Competitve Peers,"4,015772491","11,37319898","1,47251471"
Hardware Global Household Appliances ,Average,2018,Hardware. Global Household Appliances Competitve Peers,"2,593368374","8,813538986","0,960119127"
Hardware Global Household Appliances ,Average,2019,Hardware. Global Household Appliances Competitve Peers,"8,091829517","10,63992305","1,300068134"
Hardware Global Household Appliances ,Average,2020,Hardware. Global Household Appliances Competitve Peers,"8,17481177","11,82603288","1,566259875"
Hardware Global Household Appliances ,Average,2021,Hardware. Global Household Appliances Competitve Peers,"7,611526195","10,60285365","1,253108029"
Hardware Global Household Appliances ,Average,2022,Hardware. Global Household Appliances Competitve Peers,"6,892932555","9,323105388","0,9288463"
Hardware Global Household Appliances ,Average,2023,Hardware. Global Household Appliances Competitve Peers,"7,397786498","9,728248609","0,918667019"
Hardware Global Household Appliances ,Average,2024,Hardware. Global Household Appliances Competitve Peers,"8,932963469",,
SK FP Equity,Dynamic,1992,Hardware. Global Household Appliances Competitve Peers,,"5,360124497","0,818183304"
SK FP Equity,Dynamic,1993,Hardware. Global Household Appliances Competitve Peers,,"6,904982668","1,071153779"
SK FP Equity,Dynamic,1994,Hardware. Global Household Appliances Competitve Peers,,"6,841809306","1,030966137"
SK FP Equity,Dynamic,1995,Hardware. Global Household Appliances Competitve Peers,,"8,066799962","1,066681535"
